Source,Year,EspnId,Owner,Name,Position,Start,End,Salary
dynastyData.xml,2009,9704,,Stephen Gostkowski,K,2009,2011,2
dynastyData.xml,2009,10585,,Steve Breaston,WR,2009,2009,68
dynastyData.xml,2009,11323,,Steve Slaton,RB,2008,2010,7
dynastyData.xml,2009,2622,,Steve Smith (CAR),WR,2008,2010,133
dynastyData.xml,2009,10495,,Steve Smith (NYG),WR,2009,2009,43
dynastyData.xml,2009,11923,,Steven Hauschka,K,FA,2009,1
dynastyData.xml,2009,5549,,Steven Jackson,RB,2009,2009,195
dynastyData.xml,2009,2753,,T.J. Houshmandzadeh,WR,2009,2009,130
dynastyData.xml,2009,11359,,Tashard Choice,RB,2009,2011,3
dynastyData.xml,2009,10453,,Ted Ginn Jr.,WR,2009,2009,68
dynastyData.xml,2009,1056,,Terrell Owens,WR,2009,2009,110
dynastyData.xml,2009,4468,,Terrell Suggs,DL/LB,2009,2009,18
dynastyData.xml,2009,4569,,Terrence McGee,DB,FA,2009,14
dynastyData.xml,2009,8429,,Thomas Davis,LB,2009,2011,1
dynastyData.xml,2009,2138,,Thomas Jones,RB,2009,2009,75
dynastyData.xml,2009,11383,,Tim Hightower,RB,2008,2010,2
dynastyData.xml,2009,2579,,Todd Heap,TE,FA,2009,1
dynastyData.xml,2009,2330,,Tom Brady,QB,2009,2011,165
dynastyData.xml,2009,1231,,Tony Gonzalez,TE,2009,2009,85
dynastyData.xml,2009,5209,,Tony Romo,QB,2009,2011,100
dynastyData.xml,2009,9647,,Tony Scheffler,TE,2008,2010,28
dynastyData.xml,2009,1757,,Torry Holt,WR,2009,2009,10
dynastyData.xml,2009,8560,,Trent Cole,DL,2009,2011,4
dynastyData.xml,2009,10536,,Trent Edwards,QB,2009,2011,8
dynastyData.xml,2009,12435,,Tyson Jackson,DL,2009,2011,9
dynastyData.xml,2009,9592,,Vernon Davis,TE,2009,2009,7
dynastyData.xml,2009,9589,,Vince Young,QB,2009,2011,1
dynastyData.xml,2009,8475,,Vincent Jackson,WR,2008,2010,4
dynastyData.xml,2009,4549,,Visanthe Shiancoe,TE,2009,2011,9
dynastyData.xml,2009,12424,,Vontae Davis,DB,FA,2009,2
dynastyData.xml,2009,5941,,Wes Welker,WR,2009,2011,80
dynastyData.xml,2009,9701,,Will Blackmon,DB,FA,2009,18
dynastyData.xml,2009,5880,,Willie Parker,RB,2009,2009,43
dynastyData.xml,2009,4481,,Willis McGahee,RB,2008,2010,44
dynastyData.xml,2009,4671,,Yeremiah Bell,DB,FA,2009,1
dynastyData.xml,2009,10482,,Zach Miller (OAK),TE,FA,2009,1
xml/dynastyData.xml,2008,4459,Patrick,Carson Palmer,,2008,2010,100
xml/dynastyData.xml,2008,8479,Patrick,Frank Gore,,2008,2010,175
xml/dynastyData.xml,2008,2553,Patrick,LaDainian Tomlinson,,2008,2008,370
xml/dynastyData.xml,2008,2564,Patrick,Santana Moss,,2008,2008,41
xml/dynastyData.xml,2008,5531,Patrick,Kellen Winslow,,2008,2010,60
xml/dynastyData.xml,2008,5651,Patrick,Jared Allen,,2008,2008,21
xml/dynastyData.xml,2008,1097,Patrick,Adam Vinatieri,,2008,2008,2
xml/dynastyData.xml,2008,10536,Patrick,Trent Edwards,,2008,2008,3
xml/dynastyData.xml,2008,2844,Patrick,Kenny Watson,,2008,2010,1
xml/dynastyData.xml,2008,5534,Patrick,Reggie Williams,,2008,2008,1
xml/dynastyData.xml,2008,1263,Patrick,Derrick Mason,,2008,2008,1
xml/dynastyData.xml,2008,3734,Patrick,Ronald Curry,,2008,2008,2
xml/dynastyData.xml,2008,9684,Patrick,Owen Daniels,,2008,2010,3
xml/dynastyData.xml,2008,3601,Patrick,Will Witherspoon,,2008,2008,1
xml/dynastyData.xml,2008,8488,Patrick,Justin Tuck,,2008,2008,3
xml/dynastyData.xml,2008,9354,Patrick,Robbie Gould,,2008,2008,1
xml/dynastyData.xml,2008,4554,Patrick,Justin Fargas,,2008,2008,1
xml/dynastyData.xml,2008,1430,Patrick,Fred Taylor,,2008,2008,2
xml/dynastyData.xml,2008,9613,Patrick,DeAngelo Williams,,2008,2008,3
xml/dynastyData.xml,2008,4433,Patrick,James Harrison,,2008,2008,1
xml/dynastyData.xml,2008,8498,Patrick,Ellis Hobbs,,2008,2010,15
xml/dynastyData.xml,2008,5741,Patrick,Patrick Crayton,,2008,2009,7
xml/dynastyData.xml,2008,9605,Patrick,Antonio Cromartie,,2008,2008,5
xml/dynastyData.xml,2008,3530,Patrick,Julius Peppers,,2008,2008,4
xml/dynastyData.xml,2008,8440,Patrick,Jason Campbell,,2008,2009,8
xml/dynastyData.xml,2008,2649,Patrick,Rudi Johnson,,2008,2008,16
xml/dynastyData.xml,2008,2578,Patrick,Reggie Wayne,,2008,2009,115
xml/dynastyData.xml,2008,9596,Four-Toed Creed,Matt Leinart,,2008,2010,18
xml/dynastyData.xml,2008,5549,Four-Toed Creed,Steven Jackson,,2008,2008,331
xml/dynastyData.xml,2008,10453,Four-Toed Creed,"Ted Ginn, Jr.",,2008,2009,70
xml/dynastyData.xml,2008,4529,Four-Toed Creed,Nate Burleson,,2008,2009,105
xml/dynastyData.xml,2008,8418,Four-Toed Creed,Braylon Edwards,,2008,2008,161
xml/dynastyData.xml,2008,8480,Four-Toed Creed,Oshiomoogho Atogwe,,2008,2010,1
xml/dynastyData.xml,2008,5590,Four-Toed Creed,Nate Kaeding,,2008,2010,1
xml/dynastyData.xml,2008,4569,Four-Toed Creed,Terrence McGee,,2008,2008,76
xml/dynastyData.xml,2008,5526,Four-Toed Creed,Eli Manning,,2008,2010,22
xml/dynastyData.xml,2008,9643,Four-Toed Creed,Devin Hester,,2008,2009,60
xml/dynastyData.xml,2008,9592,Four-Toed Creed,Vernon Davis,,2008,2010,5
xml/dynastyData.xml,2008,10455,Four-Toed Creed,Patrick Willis,,2008,2008,17
xml/dynastyData.xml,2008,4514,Four-Toed Creed,Osi Umenyiora,,2008,2008,8
xml/dynastyData.xml,2008,3504,Four-Toed Creed,Shayne Graham,,2008,2010,1
